id,consumed_time,available_time,transmitted_time,arrived_in_relay_time,udp_tcp_delay,total_delay
package 1,332663,220080,219363,220021,59,113300
package 2,332663,225294,224894,225276,18,107769
package 3,332663,242829,240993,242828,1,91670
package 4,332663,255336,253914,255335,1,78749
package 5,332663,270680,268963,270680,0,63700
package 6,332663,270786,270211,270785,1,62452
package 7,332663,278983,278837,278983,0,53826
package 8,332663,293172,292102,293172,0,40561
package 9,332663,298427,297488,298427,0,35175
package 10,332663,303263,301628,303262,1,31035
package 11,332663,309148,308992,309148,0,23671
package 12,332663,320921,319731,320919,2,12932
package 13,1085063,349522,349058,349507,15,736005
package 14,1085063,354658,354181,354657,1,730882
package 15,1085063,355288,355176,355288,0,729887
package 16,1085063,371370,370292,371369,1,714771
package 17,1085063,379253,379070,379251,2,705993
package 18,1085063,382300,381680,382299,1,703383
package 19,1085063,394281,393902,394281,0,691161
package 20,1085063,416776,416063,416773,3,669000
package 21,1085063,422659,422159,422659,0,662904
package 22,1085063,433170,433103,433169,1,651960
package 23,1085063,437794,437504,437793,1,647559
package 24,1085063,439686,437703,439685,1,647360
package 25,1085063,459760,458556,459760,0,626507
package 26,1085063,482357,481442,482357,0,603621
package 27,1085063,496441,496407,496440,1,588656
package 28,1085063,500014,498698,500014,0,586365
package 29,1085063,500224,499820,500224,0,585243
package 30,1085063,507791,506956,507791,0,578107
package 31,1085063,517776,517400,517776,0,567663
package 32,1085063,532806,532484,532806,0,552579
package 33,1085063,537851,536190,537851,0,548873
package 34,1085063,540583,540558,540583,0,544505
package 35,1085063,553827,553109,553827,0,531954
package 36,1085063,558030,557594,558030,0,527469
package 37,1085063,584096,582378,584096,0,502685
package 38,1085063,591033,590625,591033,0,494438
package 39,1085063,591664,591317,591663,1,493746
package 40,1085063,598705,598680,598705,0,486383
package 41,1085063,608586,607587,608585,1,477476
package 42,1085063,608691,608238,608690,1,476825
package 43,1085063,636332,635751,636332,0,449312
package 44,1085063,644951,644856,644951,0,440207
package 45,1085063,653884,652822,653884,0,432241
package 46,1085063,672383,672042,672382,1,413021
package 47,1085063,679109,677562,679109,0,407501
package 48,1085063,682892,682714,682892,0,402349
package 49,1085063,695086,694422,695085,1,390641
package 50,1085063,695295,695019,695295,0,390044
package 51,1085063,697608,697192,697607,1,387871
package 52,1085063,711901,711289,711901,0,373774
package 53,1085063,732922,731479,732922,0,353584
package 54,1085063,748161,748017,748161,0,337046
package 55,1085063,758567,758543,758566,1,326520
package 56,1085063,768341,767954,768341,0,317109
package 57,1085063,773281,772871,773281,0,312192
package 58,1085063,780848,780097,780848,0,304966
package 59,1085063,785052,783805,785052,0,301258
package 60,1085063,788731,788555,788731,0,296508
package 61,1085063,822889,821183,822889,0,263880
package 62,1085063,826463,826394,826463,0,258669
package 63,1085063,830562,830150,830562,0,254913
package 64,1085063,835502,834559,835502,0,250504
package 65,1085063,840547,839703,840546,1,245360
package 66,1085063,868504,868328,868504,0,216735
package 67,1085063,878594,878246,878593,1,206817
package 68,1085063,888578,887228,888578,0,197835
package 69,1085063,891008,889120,890996,12,195943
package 70,1085063,901948,901711,901926,22,183352
package 71,1085063,906130,905005,906130,0,180058
package 72,1085063,906341,905766,906341,0,179297
package 73,1085063,936400,935602,936400,0,149461
package 74,1085063,949012,947659,949012,0,137404
package 75,1085063,959943,959774,959943,0,125289
package 76,1085063,972765,972614,972765,0,112449
package 77,1085063,973291,973191,973291,0,111872
package 78,1085063,974343,973501,974342,1,111562
package 79,1085063,997150,996172,997150,0,88891
